form,seed,method,dimension,precision,recall,tp,edges,recommended_scale,error
D^32,3,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^32,4,plateau,4.0,0.6666666666666666,0.6666666666666666,2,3,2.8630396011562723e-20,
D^32,4,window,4.0,0.6666666666666666,0.6666666666666666,2,3,1.3312797962959925e-22,
D^32,6,plateau,4.0,0.6666666666666666,0.6666666666666666,2,3,2.0286029718699078e-20,
D^32,6,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^32,8,plateau,2.0,1.0,0.3333333333333333,1,1,2.3026903674959535e-14,
D^32,8,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^32,12,plateau,2.0,1.0,0.3333333333333333,1,1,2.578049350141112e-14,
D^32,12,window,6.0,0.6,1.0,3,5,1.738684048921706e-24,
D^32,13,plateau,2.0,1.0,0.3333333333333333,1,1,2.2655108099365493e-14,
D^32,13,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^32,18,plateau,2.0,1.0,0.3333333333333333,1,1,1.5932797931418546e-14,
D^32,18,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^32,21,plateau,2.0,1.0,0.3333333333333333,1,1,2.0199514123395365e-14,
D^32,21,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^32,22,plateau,2.0,1.0,0.3333333333333333,1,1,2.3965870258562272e-14,
D^32,22,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^32,27,plateau,2.0,1.0,0.3333333333333333,1,1,2.98360620555639e-14,
D^32,27,window,6.0,0.6,1.0,3,5,1.3151394123530219e-24,
D^34,3,plateau,2.0,1.0,0.3333333333333333,1,1,7.550902073671111e-15,
D^34,3,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^34,4,plateau,4.0,0.6666666666666666,0.6666666666666666,2,3,6.378503901114545e-21,
D^34,4,window,4.0,0.6666666666666666,0.6666666666666666,2,3,2.413894656280698e-23,
D^34,6,plateau,2.0,1.0,0.3333333333333333,1,1,1.0284978058456573e-14,
D^34,6,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^34,8,plateau,2.0,1.0,0.3333333333333333,1,1,9.398771870042403e-15,
D^34,8,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^34,12,plateau,2.0,1.0,0.3333333333333333,1,1,1.0522690346760466e-14,
D^34,12,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^34,13,plateau,2.0,1.0,0.3333333333333333,1,1,9.247017924157083e-15,
D^34,13,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^34,18,plateau,2.0,1.0,0.3333333333333333,1,1,6.503207453850158e-15,
D^34,18,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^34,21,plateau,2.0,1.0,0.3333333333333333,1,1,8.244730979826473e-15,
D^34,21,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^34,22,plateau,2.0,1.0,0.3333333333333333,1,1,9.782024903674931e-15,
D^34,22,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^34,27,plateau,2.0,1.0,0.3333333333333333,1,1,1.2178030853175385e-14,
D^34,27,window,6.0,0.6,1.0,3,5,2.0083782532207475e-25,
D^36,3,plateau,2.0,1.0,0.3333333333333333,1,1,3.0822212906234115e-15,
D^36,3,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^36,4,plateau,4.0,0.6666666666666666,0.6666666666666666,2,3,1.4221897814591876e-21,
D^36,4,window,5.0,0.5,0.6666666666666666,2,4,4.3824738937979465e-24,
D^36,6,plateau,2.0,1.0,0.3333333333333333,1,1,4.198250517843074e-15,
D^36,6,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^36,8,plateau,2.0,1.0,0.3333333333333333,1,1,3.836507809167425e-15,
D^36,8,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^36,12,plateau,2.0,1.0,0.3333333333333333,1,1,4.295282855954518e-15,
D^36,12,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^36,13,plateau,2.0,1.0,0.3333333333333333,1,1,3.774562977671114e-15,
D^36,13,window,,,,,,,Window selection failed: No stable multi-transition cluster satisfied all jump criteria.
D^36,18,plateau,2.0,1.0,0.3333333333333333,1,1,2.6545602351562448e-15,
